date,dominant
2005-12-13,M0605
2005-12-14,M0605
2005-12-15,M0605
2005-12-16,M0605
2005-12-19,M0605
2005-12-20,M0605
2005-12-21,M0605
2005-12-22,M0605
2005-12-23,M0605
2005-12-26,M0605
2005-12-27,M0605
2005-12-28,M0605
2005-12-29,M0605
2005-12-30,M0605
2006-01-04,M0605
2006-01-05,M0605
2006-01-06,M0605
2006-01-09,M0605
2006-01-10,M0605
2006-01-11,M0605
2006-01-12,M0605
2006-01-13,M0605
2006-01-16,M0605
2006-01-17,M0605
2006-01-18,M0605
2006-01-19,M0605
2006-01-20,M0605
2006-01-23,M0605
2006-01-24,M0605
2006-01-25,M0605
2006-02-06,M0605
2006-02-07,M0605
2006-02-08,M0605
2006-02-09,M0605
2006-02-10,M0605
2006-02-13,M0605
2006-02-14,M0605
2006-02-15,M0605
2006-02-16,M0605
2006-02-17,M0605
2006-02-20,M0609
2006-02-21,M0609
2006-02-22,M0609
2006-02-23,M0609
2006-02-24,M0609
2006-02-27,M0609
2006-02-28,M0609
2006-03-01,M0609
2006-03-02,M0609
2006-03-03,M0609
2006-03-06,M0609
2006-03-07,M0609
2006-03-08,M0609
2006-03-09,M0609
2006-03-10,M0609
2006-03-13,M0609
2006-03-14,M0609
2006-03-15,M0609
2006-03-16,M0609
2006-03-17,M0609
2006-03-20,M0609
2006-03-21,M0609
2006-03-22,M0609
2006-03-23,M0609
2006-03-24,M0609
2006-03-27,M0609
2006-03-28,M0609
2006-03-29,M0609
2006-03-30,M0609
2006-03-31,M0609
2006-04-03,M0609
2006-04-04,M0609
2006-04-05,M0609
2006-04-06,M0609
2006-04-07,M0609
2006-04-10,M0609
2006-04-11,M0609
2006-04-12,M0609
2006-04-13,M0609
2006-04-14,M0609
2006-04-17,M0609
2006-04-18,M0609
2006-04-19,M0609
2006-04-20,M0609
2006-04-21,M0609
2006-04-24,M0609
2006-04-25,M0609
2006-04-26,M0609
2006-04-27,M0609
2006-04-28,M0609
2006-05-08,M0609
2006-05-09,M0609
2006-05-10,M0609
2006-05-11,M0609
2006-05-12,M0611
2006-05-15,M0611
2006-05-16,M0611
2006-05-17,M0611
2006-05-18,M0611
2006-05-19,M0611
2006-05-22,M0611
2006-05-23,M0611
2006-05-24,M0611
2006-05-25,M0611
2006-05-26,M0611
2006-05-29,M0611
2006-05-30,M0611
2006-05-31,M0611
2006-06-01,M0611
2006-06-02,M0611
2006-06-05,M0611
2006-06-06,M0611
2006-06-07,M0611
2006-06-08,M0611
2006-06-09,M0611
2006-06-12,M0611
2006-06-13,M0611
2006-06-14,M0611
2006-06-15,M0611
2006-06-16,M0611
2006-06-19,M0611
2006-06-20,M0611
2006-06-21,M0611
2006-06-22,M0611
2006-06-23,M0611
2006-06-26,M0611
2006-06-27,M0611
2006-06-28,M0611
2006-06-29,M0611
2006-06-30,M0611
2006-07-03,M0611
2006-07-04,M0611
2006-07-05,M0611
2006-07-06,M0611
2006-07-07,M0611
2006-07-10,M0611
2006-07-11,M0611
2006-07-12,M0611
2006-07-13,M0611
2006-07-14,M0611
